City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Jaffna,LK,77.52,broken clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
360,Sambava,MG,76.75,light rain,-14.2667,50.1667,Melrose
362,Soc Trang,VN,71.56,scattered clouds,9.6033,105.98,Phu Quy Hotel
363,Yulara,AU,73.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
364,Melo,UY,82.49,few clouds,-32.3667,-54.1833,Hotel Juana
367,Manavalakurichi,IN,80.69,few clouds,8.1333,77.3,Jebinrio home
370,Nabire,ID,76.91,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
371,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
376,Nouakchott,MR,73.33,broken clouds,18.0858,-15.9785,HOTEL IMAN
377,Mushie,CD,71.91,light rain,-3.0167,16.9,
383,San-Pedro,CI,80.08,scattered clouds,4.7485,-6.6363,Hotel Maria
385,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
386,Katobu,ID,75.52,heavy intensity rain,-4.9408,122.5276,La Ode Husein
388,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
391,Axim,GH,79.88,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
393,Benguela,AO,77.83,light rain,-12.5763,13.4055,Hotel Praia Morena
394,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
396,Odienne,CI,76.3,few clouds,9.51,-7.5692,Oustaz Vame DIAKITE
401,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
408,Honavar,IN,76.96,clear sky,14.2833,74.45,Hotel Sagar Residency
415,Gold Coast,AU,72.0,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
419,Porto Velho,BR,84.25,few clouds,-8.7619,-63.9039,Hotel Central
421,Kupang,ID,79.52,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
423,Sao Luis,BR,80.8,moderate rain,-2.5297,-44.3028,Solar das Pedras Hostel
425,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
426,Adelaide,AU,82.56,overcast clouds,-34.9333,138.6,The Chancellor on Currie
428,Rio Grande,BR,80.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
432,Tarauaca,BR,83.82,overcast clouds,-8.1614,-70.7656,Flat Temporada
435,Inhambane,MZ,76.19,scattered clouds,-23.865,35.3833,Oceano
439,Cairns,AU,83.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
440,Gadung,PH,80.01,overcast clouds,6.8025,124.02,
441,Sulangan,PH,78.73,overcast clouds,11.1373,123.7228,Maia's Beach Resort
449,Ngunguru,NZ,77.16,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
450,Talisay,PH,77.02,moderate rain,10.2447,123.8494,RedDoorz near Talisay District Hospital
451,Manicore,BR,80.47,broken clouds,-5.8092,-61.3003,Hotel Durval
452,Niono,ML,73.35,clear sky,14.2526,-5.993,Hôtel Campement
453,Morros,BR,70.09,overcast clouds,-9.4467,-46.3003,
457,Bandarbeyla,SO,76.73,few clouds,9.4942,50.8122,JABIR HOTEL
466,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
467,Jega,NG,72.16,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
468,Kishi,NG,79.52,clear sky,9.0833,3.85,New NCCF KISI
470,Kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
471,Ahipara,NZ,70.66,clear sky,-35.1667,173.1667,Ahipara Holiday Park
473,Port-Gentil,GA,79.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
479,Kapit,MY,72.52,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
480,Pineville,US,82.26,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
482,Beloha,MG,75.27,overcast clouds,-25.1667,45.05,
484,Neiafu,TO,84.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
492,Kalmunai,LK,75.81,overcast clouds,7.4167,81.8167,VS Villa
493,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
496,Hualmay,PE,72.52,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
497,Sal Rei,CV,73.96,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
498,Mackay,AU,83.68,scattered clouds,-21.15,149.2,International Lodge Motel
503,Ixtapa,MX,78.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
505,Bundaberg,AU,76.21,broken clouds,-24.85,152.35,Takalvan Motel
508,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
509,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
514,Karratha,AU,80.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
517,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
519,Bacungan,PH,76.24,overcast clouds,9.9106,118.7022,Sumayang Property
523,Tamale,GH,82.89,broken clouds,9.4008,-0.8393,Tap Hotel
524,Rondonopolis,BR,75.88,broken clouds,-16.4708,-54.6356,Serras Hotel
527,Sao Mateus,BR,75.24,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
528,Mayumba,GA,76.71,overcast clouds,-3.432,10.6554,LIKWALE LODGE
539,Tual,ID,82.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
544,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
552,Villamontes,BO,78.76,overcast clouds,-21.25,-63.5,Hotel Raldes
553,Campo Formoso,BR,74.93,overcast clouds,-10.5075,-40.3214,Hotel Rio das Pedras
554,Santa Elena,EC,75.09,scattered clouds,-2.2333,-80.85,HOTEL CISNE II
555,Male,MV,82.35,few clouds,4.1748,73.5089,Hotel Octave Maldives
556,Jacareacanga,BR,75.27,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
562,Abilene,US,71.19,overcast clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
563,Harper,LR,79.56,broken clouds,4.375,-7.7169,Screensaver
564,Clarence Town,AU,76.86,light rain,-32.5833,151.7833,River Downs Cottage
565,Pelileo,EC,70.97,light rain,-1.3167,-78.5333,La Casta
576,Thinadhoo,MV,80.89,broken clouds,0.5333,72.9333,
578,Dao,PH,74.39,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
582,Hambantota,LK,75.54,clear sky,6.1241,81.1185,Bungalow 63
584,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
591,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
594,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
596,Emerald,AU,78.35,clear sky,-23.5333,148.1667,The Irish Village
600,Davidson,US,72.52,overcast clouds,36.1501,-86.7833,Best Western Plus Music Row
602,Caravelas,BR,77.13,light rain,-17.7125,-39.2481,Pousada dos Navegantes
607,Tucurui,BR,74.34,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
610,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
611,Sikasso,ML,76.71,clear sky,10.9167,-7.0,
612,Galle,LK,74.16,overcast clouds,6.0367,80.217,Amangalla
620,Sabang,ID,80.19,broken clouds,5.8933,95.3214,Hotel Citra
623,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
625,Port Moresby,PG,80.35,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
627,Sola,VU,83.07,light intensity drizzle,-13.8833,167.55,Leumerus Bungalows
629,Juba,SS,82.51,few clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
630,Curaca,BR,83.26,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
631,Soyo,AO,78.15,broken clouds,-6.1349,12.3689,Hotel Mpampa
634,Fare,PF,81.59,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
635,Sao Desiderio,BR,70.57,overcast clouds,-12.3633,-44.9733,Hotel azaf
640,San Policarpo,PH,78.49,overcast clouds,12.1791,125.5072,Agapita M. Nicart
642,Viru,PE,74.53,overcast clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
643,Gemena,CD,73.38,overcast clouds,3.25,19.7667,Hôtel Goshen
647,Juruti,BR,77.04,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
650,Tchamba,TG,79.48,few clouds,9.0333,1.4167,ROYAL HOTEL TCHAMBA
651,Salvador,SV,82.06,few clouds,13.8333,-88.9167,Chico's Ranch
