City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
548,Neryungri,RU,56.6709,124.6491,-21.71,100,99,1.19,overcast clouds
549,Mizan Teferi,ET,6.9833,35.5833,64.56,68,21,1.95,few clouds
550,Selikhino,RU,50.3672,137.4996,-9.74,97,100,8.75,overcast clouds
551,Ossora,RU,59.2353,163.0719,32.36,97,100,33.53,light snow
552,Villamontes,BO,-21.25,-63.5,78.76,75,97,6.08,overcast clouds
553,Campo Formoso,BR,-10.5075,-40.3214,74.93,67,100,1.7,overcast clouds
554,Santa Elena,EC,-2.2333,-80.85,75.09,70,42,11.61,scattered clouds
555,Male,MV,4.1748,73.5089,82.35,78,20,12.66,few clouds
556,Jacareacanga,BR,-6.2222,-57.7528,75.27,97,97,0.85,overcast clouds
557,York,US,40.1254,-77.0,54.23,85,96,5.3,overcast clouds
558,Katsuura,JP,35.1333,140.3,32.14,44,8,11.36,clear sky
559,Inta,RU,66.0317,60.1659,13.98,96,100,4.0,light snow
560,Aleksandrov Gay,RU,50.147,48.5704,32.32,99,100,5.21,overcast clouds
561,Taunggyi,MM,20.7833,97.0333,50.13,77,98,1.63,overcast clouds
562,Abilene,US,32.4487,-99.7331,71.19,39,100,1.01,overcast clouds
563,Harper,LR,4.375,-7.7169,79.56,83,54,8.7,broken clouds
564,Clarence Town,AU,-32.5833,151.7833,76.86,65,100,3.42,light rain
565,Pelileo,EC,-1.3167,-78.5333,70.97,23,100,5.3,light rain
566,Popova,RU,42.9603,131.7228,-3.91,71,0,13.51,clear sky
567,Mbanza-Ngungu,CD,-5.25,14.8667,68.85,94,91,0.96,overcast clouds
568,Kushima,JP,31.4583,131.2333,33.84,68,20,5.39,few clouds
569,Rochegda,RU,62.8,43.25,19.53,95,100,8.39,light snow
570,Hailey,US,43.5196,-114.3153,20.89,76,80,3.0,broken clouds
571,Progreso,MX,21.2833,-89.6667,86.18,57,3,12.66,clear sky
572,Ginda,IN,30.6945,78.4932,41.25,25,98,5.66,overcast clouds
573,Maiduguri,NG,11.8464,13.1603,67.82,22,4,7.58,clear sky
574,Tessalit,ML,20.1986,1.0114,66.69,15,0,8.57,clear sky
575,Lubango,AO,-14.9172,13.4925,61.72,81,31,2.62,scattered clouds
576,Thinadhoo,MV,0.5333,72.9333,80.89,75,71,8.95,broken clouds
577,Cervo,ES,43.6702,-7.4101,58.5,66,94,9.89,overcast clouds
578,Dao,PH,11.3937,122.6856,74.39,88,100,9.22,overcast clouds
579,Okhotsk,RU,59.3833,143.3,-21.42,77,1,18.9,clear sky
580,Catacamas,HN,14.8,-85.9,88.21,57,75,2.3,broken clouds
581,Rio Cuarto,AR,-33.1307,-64.3499,92.97,29,0,18.41,clear sky
582,Hambantota,LK,6.1241,81.1185,75.54,100,1,5.75,clear sky
583,Alcudia,ES,39.8532,3.1214,54.25,79,83,5.08,broken clouds
584,Kloulklubed,PW,7.0419,134.2556,79.3,78,100,20.07,overcast clouds
585,Litovko,RU,49.2361,135.1742,-21.82,93,73,3.0,broken clouds
586,Dryden,CA,49.7833,-92.7503,-9.11,70,75,11.5,haze
587,Aberdeen,GB,57.1437,-2.0981,51.49,93,100,1.14,overcast clouds
588,Markova,UA,48.6758,24.4138,39.42,96,100,9.93,overcast clouds
589,Oranjemund,NA,-28.55,16.4333,61.56,82,3,4.74,clear sky
590,Dragor,DK,55.5946,12.6664,46.38,95,90,13.8,mist
591,La Romana,DO,18.4273,-68.9728,82.76,61,40,6.91,scattered clouds
592,Otofuke,JP,42.9917,143.2003,9.84,80,31,4.99,scattered clouds
593,Valleyview,CA,55.0667,-117.2859,-23.76,69,52,10.36,broken clouds
594,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,28.77,few clouds
595,Phan Thiet,VN,10.9333,108.1,69.93,73,22,7.11,few clouds
596,Emerald,AU,-23.5333,148.1667,78.35,73,0,12.66,clear sky
597,Dmitriyevka,RU,54.75,55.3333,17.15,95,100,12.39,light snow
598,Bonfim,BR,3.0833,-59.95,86.32,50,100,8.41,overcast clouds
599,Xichang,CN,27.8964,102.2634,37.74,85,5,3.91,clear sky
600,Davidson,US,36.1501,-86.7833,72.52,77,90,4.0,overcast clouds
601,Platanos,GR,37.6667,21.6167,52.09,70,1,5.01,clear sky
602,Caravelas,BR,-17.7125,-39.2481,77.13,85,100,7.43,light rain
603,Brasileia,BR,-11.0161,-68.7481,93.65,55,40,4.61,scattered clouds
604,Novoagansk,RU,61.9449,76.6625,4.84,95,100,8.25,overcast clouds
605,Bergerac,FR,44.8333,0.5,51.87,100,52,3.44,mist
606,Adamovka,RU,51.5223,59.9396,-2.65,89,36,5.01,scattered clouds
607,Tucurui,BR,-3.7661,-49.6725,74.34,94,99,3.38,overcast clouds
608,Qostanay,KZ,53.1667,63.5833,-2.18,84,16,6.49,few clouds
609,Margate,GB,51.3813,1.3862,55.96,90,89,5.01,overcast clouds
610,San Cristobal,VE,7.7669,-72.225,77.18,58,98,1.16,overcast clouds
611,Sikasso,ML,10.9167,-7.0,76.71,13,2,4.5,clear sky
612,Galle,LK,6.0367,80.217,74.16,89,88,7.54,overcast clouds
613,Buraydah,SA,26.326,43.975,57.65,82,25,13.71,scattered clouds
614,Amazar,RU,53.858,120.875,-10.43,98,100,1.1,light snow
615,San Jeronimo,PE,-11.9472,-75.2829,61.88,56,99,6.93,overcast clouds
616,Luebo,CD,-5.35,21.4167,68.49,97,95,1.05,overcast clouds
617,Camabatela,AO,-8.1881,15.375,61.61,98,25,1.25,light rain
618,Rawlins,US,41.7911,-107.2387,21.42,80,100,9.55,overcast clouds
619,Prince George,CA,53.9166,-122.753,1.69,91,91,2.21,overcast clouds
620,Sabang,ID,5.8933,95.3214,80.19,81,74,22.26,broken clouds
621,Tangshan,CN,39.6333,118.1833,25.07,63,0,0.96,clear sky
622,Northam,GB,51.0333,-4.2167,57.38,93,100,23.33,overcast clouds
623,Bintulu,MY,3.1667,113.0333,77.41,88,40,3.0,scattered clouds
624,Toora-Khem,RU,52.4675,96.11,-16.83,98,100,1.74,overcast clouds
625,Port Moresby,PG,-9.4431,147.1797,80.35,73,100,5.44,overcast clouds
626,Ankazoabo,MG,-22.2833,44.5167,69.98,65,12,5.19,few clouds
627,Sola,VU,-13.8833,167.55,83.07,94,90,0.0,light intensity drizzle
628,Kon Tum,VN,14.35,108.0,61.23,89,19,3.94,few clouds
629,Juba,SS,4.8517,31.5825,82.51,37,17,2.59,few clouds
630,Curaca,BR,-8.9903,-39.9094,83.26,54,100,5.5,overcast clouds
631,Soyo,AO,-6.1349,12.3689,78.15,90,76,8.34,broken clouds
632,Caraballeda,VE,10.6112,-66.8522,87.87,70,40,2.3,scattered clouds
633,Kirensk,RU,57.7853,108.1119,-7.1,95,100,10.96,overcast clouds
634,Fare,PF,-16.7,-151.0167,81.59,76,85,16.64,overcast clouds
635,Sao Desiderio,BR,-12.3633,-44.9733,70.57,95,100,2.1,overcast clouds
636,Kitakata,JP,37.65,139.8667,24.91,92,99,19.66,snow
637,Omagh,GB,54.6,-7.3,52.2,94,100,12.5,overcast clouds
