City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
23,Martapura,ID,2021-12-22 01:15:18,-3.4167,114.85,82.49,83,20,3.44
24,Hermanus,ZA,2021-12-22 01:11:13,-34.4187,19.2345,68.9,91,100,6.49
25,Pandua,IN,2021-12-22 01:15:19,23.0833,88.2833,60.67,67,0,5.99
26,Wajima,JP,2021-12-22 01:14:49,37.4,136.9,40.35,68,80,13.67
27,Beringovskiy,RU,2021-12-22 01:15:20,63.05,179.3167,0.46,87,100,11.9
28,Velke Karlovice,CZ,2021-12-22 01:15:20,49.3606,18.2836,26.98,97,100,0.78
29,Iqaluit,CA,2021-12-22 01:15:21,63.7506,-68.5145,1.13,84,75,34.0
30,Barrow,US,2021-12-22 01:12:27,71.2906,-156.7887,1.42,78,90,24.16
31,Rikitea,PF,2021-12-22 01:12:15,-23.1203,-134.9692,74.98,84,100,15.57
32,Nizhnyaya Salda,RU,2021-12-22 01:15:22,58.0776,60.7202,4.46,96,100,4.99
33,Hobart,AU,2021-12-22 01:15:03,-42.8794,147.3294,64.11,52,75,7.0
34,Agboville,CI,2021-12-22 01:15:23,5.928,-4.2132,74.3,92,8,1.23
35,San Salvo,IT,2021-12-22 01:15:23,42.0433,14.7272,42.87,70,46,6.62
36,Fortuna,US,2021-12-22 01:15:24,40.5982,-124.1573,52.14,90,90,5.99
37,Cabra,ES,2021-12-22 01:15:24,37.4725,-4.4421,58.39,85,100,4.76
38,Atuona,PF,2021-12-22 01:15:25,-9.8,-139.0333,78.66,77,100,19.84
39,Bredasdorp,ZA,2021-12-22 01:15:26,-34.5322,20.0403,67.32,88,100,8.05
40,Nikolskoye,RU,2021-12-22 01:15:26,59.7035,30.7861,14.02,96,100,6.02
41,Bambous Virieux,MU,2021-12-22 01:15:27,-20.3428,57.7575,79.05,78,75,14.97
42,Kavieng,PG,2021-12-22 01:15:27,-2.5744,150.7967,84.67,70,100,6.62
43,Nemuro,JP,2021-12-22 01:15:28,43.3236,145.575,28.83,62,96,13.76
44,Cockburn Town,TC,2021-12-22 01:15:28,21.4612,-71.1419,78.76,65,40,13.8
45,Balabac,PH,2021-12-22 01:15:29,7.9868,117.0645,82.8,69,10,8.86
46,Kavaratti,IN,2021-12-22 01:15:29,10.5669,72.642,79.0,64,40,5.37
47,Talnakh,RU,2021-12-22 01:16:29,69.4865,88.3972,-15.86,83,100,9.8
48,The Valley,AI,2021-12-22 01:16:31,18.217,-63.0578,79.11,72,0,20.22
49,Linxia,CN,2021-12-22 01:16:31,35.6003,103.2064,27.73,29,0,0.78
50,Vaini,TO,2021-12-22 01:16:32,-21.2,-175.2,87.96,89,40,12.66
51,Chokurdakh,RU,2021-12-22 01:13:44,70.6333,147.9167,-9.67,97,100,9.26
52,Meadow Lake,US,2021-12-22 01:15:08,34.8014,-106.5436,49.66,25,100,2.06
53,Pisco,PE,2021-12-22 01:16:33,-13.7,-76.2167,68.05,83,0,14.97
54,Nelson Bay,AU,2021-12-22 01:16:33,-32.7167,152.15,83.28,74,100,3.0
55,Qovlar,AZ,2021-12-22 01:16:34,40.948,45.735,38.25,74,100,5.08
56,Ambunti,PG,2021-12-22 01:16:34,-4.2365,142.8448,87.12,69,84,1.54
57,Norman Wells,CA,2021-12-22 01:16:35,65.282,-126.8329,-0.36,78,90,2.3
